Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00 - 09:30,MA202,MA202,EC206,EC206,EC202
09:30 - 10:00,MA202,MA202,EC206,EC206,EC202
10:00 - 10:30,MA202,MA202,EC206,EC206,EC202
10:30 - 11:00,EC207,EC207,EC201,EC201,HS102
11:00 - 11:30,EC207,EC207,EC201,EC201,HS102
11:30 - 12:00,EC207,EC207,EC201,EC201,HS102
12:00 - 12:30,MA202 (Tut),EC207 (Tut),EC201 (Tut),HS102 (Tut),
12:30 - 13:00,MA202 (Tut),EC207 (Tut),EC201 (Tut),HS102 (Tut),
13:00 - 13:30 ,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
13:30 - 14:00,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
14:00 - 14:30,,,,,
14:30 - 15:00,EC206 (Lab),,EC202 (Lab),,
15:00 - 15:30,EC206 (Lab),,EC202 (Lab),,
15:30 - 16:00,EC206 (Lab),,EC202 (Lab),,
16:00 - 16:30,EC206 (Lab),,EC202 (Lab),,
16:30 - 17:30,,,,,
17:00 - 17: 30,,,,,
17:30 - 18:30,,,,,
